id,short_name,citation,uri,notes
1,rastorgueva_2012,"Rastorgueva et al., The Gilaki Language",,Main linguistic reference and normalized transcription basis
2,gillex_seed,Gillex seed data,,Examples migrated or adapted from the old data/raw CSVs
