id,canonical_form,orthography_id,homograph_no,status_id,source_id,notes
16,nukudəm,rastorgueva,1,normalized,2,optional negative past 1sg form of kudǝn
17,kudən dǝrəm,rastorgueva,1,normalized,2,optional present definite 1sg form of kudǝn
18,xayəm kudən,rastorgueva,1,normalized,2,optional future categoric 1sg form of kudǝn
19,kudən dubum,rastorgueva,1,normalized,2,optional past definite 1sg form of kudǝn

